GFPipeID,PipeName,GFLocID,GF_LocID_Tag,LocID,Loc,GF_LocName,LocName,GF_FacilityType,GF_FacilityTypeGroup,ReportedFacilityType,LocSegment,LocZone,State,County,InterconnectingEntity,UpdatedTime,PartitionKey,RowKey
120,"Texas Eastern Transmission, LP",1200072648,,0072648,72648,,"So. Ind. Gas & El. -Posey, IN",,,LDC,,2,IN,POSEY,,2026-03-23T09:37:47.898642,Enbridge,1200072648
100,"Algonquin Gas Transmission, LLC",1000000838,,0000838,838,,National Grid - West Roxbury,,,LDC,,,MA,SUFFOLK,,2026-03-23T09:37:47.898642,Enbridge,1000000838
107,"Generation Pipeline, LLC",10700GP002,,00GP002,GP002,,ANR FALLEN TIMBERS,,,,,,,,,2026-03-23T09:37:47.898642,Enbridge,10700GP002
120,"Texas Eastern Transmission, LP",1200079123,,0079123,79123,,LATERAL 2-V - RELIANT ENERGY HUNTERSTOWN - MAINLINE,,,OTH,,3,PA,ADAMS,,2026-03-23T09:37:47.898642,Enbridge,1200079123
120,"Texas Eastern Transmission, LP",1200072908,,0072908,72908,,"Duke Energy Ohio Inc. Springboro, Franklin, OH",,,LDC,,2,OH,FRANKLIN,,2026-03-23T09:37:47.898642,Enbridge,1200072908
120,"Texas Eastern Transmission, LP",1200073191,,0073191,73191,,"St Francis Pwr Plt -Dunkin, MO",,,END,,1,MO,DUNKLIN,,2026-03-23T09:37:47.898642,Enbridge,1200073191
104,"Egan Hub Storage, LLC",1040045101,,0045101,45101,,"ANR - STORAGE, LA (D40102/R40101)",,,INT,,,LA,ACADIA,,2026-03-23T09:37:47.898642,Enbridge,1040045101
120,"Texas Eastern Transmission, LP",1200073465,,0073465,73465,,"Greylock Pipeline, LLC, Jefferson IC  PA",,,WHD,,2,PA,GREENE,,2026-03-23T09:37:47.898642,Enbridge,1200073465
105,"East Tennessee Natural Gas, LLC",1050059127,,0059127,59127,,UCG TRI CITIES,,,LDC,,,TN,SULLIVAN,,2026-03-23T09:37:47.898642,Enbridge,1050059127
120,"Texas Eastern Transmission, LP",1200073628,,0073628,73628,,"Acadian/False River - Baton Rouge, LA",,,INT,,ELA,LA,WEST BATON ROUGE,,2026-03-23T09:37:47.898642,Enbridge,1200073628
120,"Texas Eastern Transmission, LP",1200073410,,0073410,73410,,"Centerpoint Energy-Gathering System, Shelby Co., TX (REC)",,,INT,,ETX,TX,SHELBY,,2026-03-23T09:37:47.898642,Enbridge,1200073410
105,"East Tennessee Natural Gas, LLC",1050059329,,0059329,59329,,"Texas Eastern - Mt. Pleasant, Giles Co., TN",,,INT,,,TN,GILES,,2026-03-23T09:37:47.898642,Enbridge,1050059329
116,"Southeast Supply Header, LLC",1160083113,,0083113,83113,,"PLANT DANIEL, MISSISSIPPI POWER COMPANY",,,END,,,MS,JACKSON,,2026-03-23T09:37:47.898642,Enbridge,1160083113
120,"Texas Eastern Transmission, LP",1200071503,,0071503,71503,,"Henderson Petroleum Corp.-SW Lake Boeuf Lafourche Psh.,LA",,,WHD,,ELA,LA,LAFOURCHE,,2026-03-23T09:37:47.898642,Enbridge,1200071503
105,"East Tennessee Natural Gas, LLC",1050059206,,0059206,59206,,TENNESSEE EASTMAN CHEMICAL CORP,,,END,,,TN,SULLIVAN,,2026-03-23T09:37:47.898642,Enbridge,1050059206
120,"Texas Eastern Transmission, LP",1200072904,,0072904,72904,,"Vectren Ohio - Glen Karn, OH CenterPoint Energy(PEPL 02831)",,,LDC,,2,OH,DARKE,,2026-03-23T09:37:47.898642,Enbridge,1200072904
100,"Algonquin Gas Transmission, LLC",1000099200,,0099200,99200,,NJ-NY MAINLINE,,,INT,,,NY,ROCKLAND,,2026-03-23T09:37:47.898642,Enbridge,1000099200
100,"Algonquin Gas Transmission, LLC",1000080004,,0080004,80004,,"INTERCONNECT AGT G-SYS BOURNE, MA & CANAL LATERAL",,,STA,,,MA,BARNSTABLE,,2026-03-23T09:37:47.898642,Enbridge,1000080004
120,"Texas Eastern Transmission, LP",1200070548,,0070548,70548,,"Starks Utilities - Starks, LA",,,LDC,,WLA,LA,CALCASIEU,,2026-03-23T09:37:47.898642,Enbridge,1200070548
120,"Texas Eastern Transmission, LP",1200070033,,0070033,70033,,"PECO Energy - Cromby Generation, PA",,,LDC,,3,PA,CHESTER,,2026-03-23T09:37:47.898642,Enbridge,1200070033
