GFPipeID,PipeName,GFLocID,GF_LocID_Tag,LocID,Loc,GF_LocName,LocName,GF_FacilityType,GF_FacilityTypeGroup,ReportedFacilityType,LocSegment,LocZone,State,County,InterconnectingEntity,UpdatedTime
120,"Texas Eastern Transmission, LP",1200071366,"",0071366,71366,"","Osgood, IN","","",LDC,"",2,IN,RIPLEY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073157,"",0073157,73157,"","UGI CENTRAL - Penn Fuel - McConnellsburg, Fulton Co., PA","","",LDC,"",3,PA,FULTON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200074219,"",0074219,74219,"",Acadian Gas Pipeline System,"","",INT,"",WLA,LA,BEAUREGARD,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070584,"",0070584,70584,"","Elizabethtown Gas Company - Ringoes, NJ","","",LDC,"",3,NJ,HUNTERDON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070984,"",0070984,70984,"","Columbia Gas - New Holland, OH","","",INT,"",2,OH,FAYETTE,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000251,"",0000251,00251,"","Brookfield (FAIRFIELD,CT)","","",INT,"","",CT,FAIRFIELD,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073424,"",0073424,73424,"","Great Lakes Energy - Layman Gathering/Westmoreland, PA.","","",WHD,"",2,PA,WESTMORELAND,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000099857,"",0099857,99857,"",EAST BRAINTREE CUSTODY TRANSFER POINT,"","",STA,"","",MA,NORFOLK,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000827,"",0000827,00827,"","National Grid-WEYMOUTH (NORFOLK,MA)","","",LDC,"","",MA,NORFOLK,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072856,"",0072856,72856,"","Onalaska Water & Gas Corporation - Polk County, TX","","",LDC,"",ETX,TX,POLK,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000805,"",0000805,00805,"","Franklin (NEW LONDON,CT)","","",LDC,"","",CT,NEW LONDON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073339,"",0073339,73339,"","Entergy Mississippi, LLC-Choctaw Co., MS","","",END,"",1,MS,CHOCTAW,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070429,"",0070429,70429,"","Tompkinsville, KY","","",LDC,"",2,KY,MONROE,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000215,"",0000215,00215,"","Salem Essex Co., MA (ESSEX,MA)","","",INT,"","",MA,ESSEX,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200079616,"",0079616,79616,"","ZONE M1 30"" PAL POINT OF TRANSACTION","","",VIR,"",1,MS,ATTALA,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000076,"",0000076,00076,"","MANSFIELD (TOLLAND,CT)","","",LDC,"","",CT,TOLLAND,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072131,"",0072131,72131,"","Marshall Exploration - #1 Resch / Harrison Co., TX  (REC)","","",WHD,"",ETX,TX,HARRISON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200071142,"",0071142,71142,"","Vernon Faulkner-San Salvador Field - Hidalgo Co., TX  (REC)","","",WHD,"",STX,TX,HIDALGO,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073205,"",0073205,73205,"","Middle Tn Nat Gas -Wilson, TN","","",INT,"",1,TN,WILSON,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000000008,"",0000008,00008,"","Rhode Island Energy-WESTERLY (WASHINGTON,RI)","","",LDC,"","",RI,WASHINGTON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073613,"",0073613,73613,"","Buffco Prod./Southern Egg Ranch-Shelby Co., TX","","",WHD,"",ETX,TX,SHELBY,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073346,"",0073346,73346,"","Fayette Power, LLC  (Fayette Pow)","","",END,"",2,PA,FAYETTE,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070480,"",0070480,70480,"","Horton Highway - Triune, TN","","",LDC,"",1,TN,WILLIAMSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072979,"",0072979,72979,"","PECO - Doylestown, Bucks Co., PA","","",LDC,"",3,PA,BUCKS,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200071020,"",0071020,71020,"","TE Princeton - Princeton, IN","","",END,"",2,IN,GIBSON,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073918,"",0073918,73918,"",Columbia Gas Johnson RD York Co. PA,"","",INT,"",3,PA,YORK,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070099,"",0070099,70099,"",Belmont  MS,"","",LDC,"",1,MS,FRANKLIN,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200072210,"",0072210,72210,"","New Jersey Natural - Jamesburg, NJ","","",LDC,"",3,NJ,MIDDLESEX,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070275,"",0070275,70275,"","Elizabethtown Gas Company - Elizabeth, NJ","","",LDC,"",3,NJ,MIDDLESEX,"",2026-03-23T09:41:40.296409
100,"Algonquin Gas Transmission, LLC",1000001211,"",0001211,01211,"",AGT To TETCO for PSEG Del.,"","",INT,"","",NJ,PASSAIC,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200070033,"",0070033,70033,"","PECO Energy - Cromby Generation, PA","","",LDC,"",3,PA,CHESTER,"",2026-03-23T09:41:40.296409
120,"Texas Eastern Transmission, LP",1200073684,"",0073684,73684,"",ETX-Enbridge/Wells Landing - Polk,"","",INT,"",ETX,TX,POLK,"",2026-03-23T09:41:40.296409
