Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Type Ind,PipeCode,GFPipeID,PipeName,GFLocID
70096,"UGI CENTRAL - SHIPPENSBURG - OXFORD, PA",PA,FRANKLIN,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070096
N4023,(DTE) CONSUMERS NORTHVILLE -  DELIVERY,MI,WAYNE,M1,D,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4023
73694,SWEENY PLANT-CONOCO PIPELINE,TX,BRAZORIA,STX,D,END,TE,120,"Texas Eastern Transmission, LP",1200073694
73414,"HESCO - DENALI GATHERING / HIDALGO CO., TX (REC)",TX,HIDALGO,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073414
72999,"AMERICAN EXPLORER - SHORE OIL #1 - LAFOURCHE PSH., LA",LA,LAFOURCHE,ELA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072999
70051,"PEOPLES NAT - SOMERSET, PA",PA,SOMERSET,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070051
79553,(M1) GSS  ST POINT  - LEIDY,TN,MACON,1,D,STR,TE,120,"Texas Eastern Transmission, LP",1200079553
75773,MOSS BLUFF GAS STRG-CHAMBERS CO. TX-(D7277,TX,CHAMBERS,STX,B,STR,TE,120,"Texas Eastern Transmission, LP",1200075773
72137,FIELDWOOD ENERGY - WD 86,OF,WEST DELTA,ELA,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072137
75111,EQM GATHERING - BONNETHEAD (BI-DI D 74110/R 74111),PA,GREENE,2,B,INT,TE,120,"Texas Eastern Transmission, LP",1200075111
73214,"DEFS - PETTUS, BEE CO., TX",TX,BEE,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073214
59053,UNICOI ERWIN,TN,UNICOI,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059053
